Name;is_company
Badan Pelaksana Kegiatan Usaha Hulu Minyak Gas Bumi;true
BDO (Nina Gross);true
BDO AG;true
BDO East Coast Partnership - Melbourne;true
BDO Governance Advisory SDN BHD;true
BDO Limited;true
BDO LLP;true
BDO Tax Limited;true
BDO USA, LLP;true
BHLN Creador SDN BHD;true
BHLN Facebook Singapore PTE LTD;true
Birdwood Enterprise LTD;true
But Sita Telecomunications / Societe Intr.;true
China National Tachnical Import Export Corp.;true
China National Technical Import Export Corp.;true
CNBC;true
Gamesa Wind;true
Ironclad Performance Wear Corporation;true
LC Waikiki;true
OIA International SCM Co;true
Persek KAP Tanubrata Sutanto Fahmi & Rekan;true
PPD Development (S) PTE LTD;true
PT Allightsykes;true
PT Altron Indonesia;true
PT Apple Indonesia;true
PT Audatex Solusi Indonesia;true
PT Bakrie Sumatera Plantations Tbk;true
PT Bank KEB Hana;true
PT Bank Perkreditan Rakyat Karyajatnika;true
PT Bank Shinhan;true
PT BHP Billiton Indonesia;true
PT Billiton Indonesia;true
PT Bima Multi Finance;true
PT Biomin Indonesia;true
PT Blue Coat Systems Indonesia;true
PT BNI Divisi Local Corporate & MNC 2;true
PT Brandtone Indonesia Data Services;true
PT BT Indonesia;true
PT Cahaya Berlian Lestari;true
PT CFX Indonesia;true
PT Comba Telecom;true
PT Dahlia Dewantara;true
PT Dam Karya Prima;true
PT Draegerindo Jaya;true
PT Forisa Nusapersada;true
PT Gading Prima Autoland;true
PT Indonesia Konsorsium Investama;true
PT Juloi Coal;true
PT Kalteng Coal;true
PT KSB Indonesia;true
PT Lahai Coal;true
PT Maruwai Coal;true
PT Mindray Medical Indonesia;true
PT Motorola Mobility Indonesia;true
PT Mphasis Indonesia;true
PT Multi Sanggar Utama;true
PT Pari Coal;true
PT Persada Sokka Tama;true
PT Ratah Coal;true
PT Reycom Document Solusi;true
PT Sinergi Daya Prima;true
PT Sita Information Networking Computing;true
PT Sumber Barito Coal;true
PT SUN Microsystem Indonesia;true
PT Suryalaya Anindita International;true
PT Tempa Bersama;true
PT Triumph Motorcycles Indonesia;true
PT Wolters Kluwers Financial Services Indonesia;true
SUEK AG;true
System S.p.A;true
Taman Safari Indonesia;true
Twitter Asia Pacific PTE LTD;true
